Genus,species,full,Status
Rutilus,meidingeri,Rutilus meidingeri,U
Rutilus,ohridanus,Rutilus ohridanus,N
Rutilus,panosi,Rutilus panosi,N
Rutilus,pigus,Rutilus pigus,N
Rutilus,rubilio,Rutilus rubilio,N
Rutilus,rutilus,Rutilus rutilus,U
Sabanejewia,aurata,Sabanejewia aurata,N
Sabanejewia,balcanica,Sabanejewia balcanica,N
Sabanejewia,bulgarica,Sabanejewia bulgarica,N
Sabanejewia,caucasica,Sabanejewia caucasica,N
Sabanejewia,larvata,Sabanejewia larvata,N
Sabanejewia,romanica,Sabanejewia romanica,N
Salaria,economidisi,Salaria economidisi,N
Salaria,fluviatilis,Salaria fluviatilis,N
Salmo,aphelios,Salmo aphelios,N
Salmo,balcanicus,Salmo balcanicus,N
Salmo,cettii,Salmo cettii,N
Salmo,dentex,Salmo dentex,N
Salmo,labrax,Salmo labrax,N
Salmo,letnica,Salmo letnica,N
Salmo,lumi,Salmo lumi,N
Salmo,macedonicus,Salmo macedonicus,N
Salmo,marmoratus,Salmo marmoratus,N
Salmo,pelagonicus,Salmo pelagonicus,N
Salmo,platycephalus,Salmo platycephalus,N
Salmo,salar,Salmo salar,U
Salmo,trutta,Salmo trutta,U
Salmothymus,obtusirostris,Salmothymus obtusirostris,N
Salvelinus,alpinus,Salvelinus alpinus,U
Salvelinus,fontinalis,Salvelinus fontinalis,E
Salvelinus,namaycush,Salvelinus namaycush,E
Salvelinus,umbla,Salvelinus umbla,N
Sander,lucioperca,Sander lucioperca,U
Sander,volgensis,Sander volgensis,N
Scardinius,acarnanicus,Scardinius acarnanicus,N
Scardinius,erythrophthalmus,Scardinius erythrophthalmus,U
Scardinius,knezevici,Scardinius knezevici,N
Seminemacheilus,lendlii,Seminemacheilus lendlii,N
Silurus,aristotelis,Silurus aristotelis,N
Silurus,glanis,Silurus glanis,U
Silurus,triostegus,Silurus triostegus,N
Squalius,aphipsi,Squalius aphipsi,N
Stenodus,leucichthys,Stenodus leucichthys,N
Syngnathus,abaster,Syngnathus abaster,U
Syngnathus,typhle,Syngnathus typhle,N
Thymallus,arcticus,Thymallus arcticus,N
Thymallus,thymallus,Thymallus thymallus,U
Tinca,tinca,Tinca tinca,U
Triglopsis,quadricornis,Triglopsis quadricornis,N
Tropidophoxinellus,alburnoides,Tropidophoxinellus alburnoides,N
Tropidophoxinellus,hellenicus,Tropidophoxinellus hellenicus,N
Tropidophoxinellus,spartiaticus,Tropidophoxinellus spartiaticus,N
Turcinoemacheilus,kosswigi,Turcinoemacheilus kosswigi,N
Umbra,krameri,Umbra krameri,N
Umbra,pygmaea,Umbra pygmaea,E
Valencia,hispanica,Valencia hispanica,N
Valencia,letourneuxi,Valencia letourneuxi,N
Vimba,melanops,Vimba melanops,N
Vimba,vimba,Vimba vimba,U
Zingel,asper,Zingel asper,N
Zingel,balcanicus,Zingel balcanicus,N
Zingel,streber,Zingel streber,N
Zingel,zingel,Zingel zingel,N
