NOM,WATERWAY,NAVIGATION,fid,id
Lock 42 Ougney,Canal du Rhône au Rhin,"38,7 x 5,25 m — height : 1,25 m","48","48"
Lock Faulbach,Main,12.1 x 2.5 m — height : 4.51 m,"183","183"
Lock 5,Canal du Rhône au Rhin,"40,7 x 6,28 m — height : 1,99 m","51","51"
Lock Kleinmachnow,Teltowkanal,85 x 12 m — height : 2.7 m,"601","601"
Lock Harrbach,Main,300 x 12 m — height : 4.9 m,"208","208"
Lock 30 Lalau,Canal entre Champagne et Bourgogne,"38,5 x 5,2 m — height : 3,5 m","62","62"
Lock 14 La Croix-Rouge,Canal entre Champagne et Bourgogne,"38,5 x 5,2 m — height : 3,5 m","63","63"
Lock 26 Saint-Maurice,Canal entre Champagne et Bourgogne,"38,5 x 5,2 m — height : 3,47 m","62","62"
Lock Marktbreit,Main,12.5 x 2.5 m — height : 3.31 m,"210","210"
Lock,,,"492","492"
Lock Marcinelle,Sambre,119.38 x 12.5 m — height : 3 m,"161","161"
Lock Planena (Halle),Saale,,"630","630"
Lock Hagestein,Lek,260 x 18 m,"822","822"
Lock Horna Streda,,,"251","251"
Lock Horkheim,Neckar,110 x 12 m — height : 7.3 m@@parallel chambers,"189","189"
Lock Fankel,Mosel,18  x 3.2 m — height : 7 m,"120","120"
Lock 3 Barbonfoing,Canal des Vosges,"38,5 x 5,2 m — height : 3,03 m","99","99"
Lock 32 Plaine de Charmes,Canal des Vosges,"38,5 x 5,2 m — height : 3 m","101","101"
Lock 26 L'Isle-sur-le-Doubs,Canal du Rhône au Rhin,"38,7 x 5,25 m — height : 2,25 m","49","49"
Lock Halle,Canal de Charleroi à Bruxelles,81.6 x 10.5 m — height : 3.7 m,"158","158"
Lock Anseremme,Meuse,100 x 12 m — height : 2.23 m,"170","170"
Lift 4 Thieu,Canal du Centre historique,40.8 x 5.2 m — height : 16.93 m,"159","159"
boat_lift Niederfinow,Havel-Oder-Wasserstraße,82 x 11.9 m — height : 36 m,"592","592"
Ronquières Inclined Plane,Canal de Charleroi à Bruxelles,85.5 x 11.6 m — height : 68 m,"162","162"
80 x 12 m — height : 4.18 m,Elbe-Lübeck-Kanal,,"654","654"
Cavanella d'Adige Right Lock,,,"392","392"
Lock 35,Canal des Vosges,"38,5 x 5,2 m — height : 3 m","101","101"
Lock 15 Lipica,,57.4 x 9.6 m,"561","561"
Lock 53 Bienville,Canal entre Champagne et Bourgogne,"38,5 x 5,2 m — height : 3,5 m","72","72"
Lock 3,Canal du Rhône au Rhin,"38,8 x 5,1 m — height : 2,29 m","52","52"
Strépy-Thieu Lift,Canal du Centre,112 x 12 m — height : 73.15 m,"159","159"
Lift Lüneburg,Elbe-Seitenkanal,100 x 12 m — height : 38 m,"670","670"
80 x 12 m — height : 3.28 m,Elbe-Lübeck-Kanal,,"675","675"
Cavanella d'Adige Left Lock,,,"392","392"
IJmuiden - small lock,Noordzeekanaal,,"819","819"
former Fontinettes lift,Liaison Dunkerque-Escaut,,"138","138"
Boat lift Henrichenburg,Dortmund-Ems Kanal,90 x 12 m — height : 4 m,"755","755"
Lift Rothensee,Mittellandkanal - Elbe Branch,85.14 x 12 m — height : 16 m,"640","640"
136.9 x 12.5 m — height : 2.3 m,Sambre,,"166","166"
Canda Lock,,,"388","388"
Charlottenburg old locks,Oder-Spree Wasserstraße - Unterspree - Original line,82 x 10 m — height : 1.1 m@@65.3 x 10 m,"601","601"
Lock Beaucaire,Rhône,195 x 12 m,"22","22"
Lock 24 Harsault,Canal des Vosges,"38,5 x 5,2 m — height : 3,25 m","71","71"
Lock 63 Perthes,Canal entre Champagne et Bourgogne,"38,5 x 5,2 m — height : 3,15 m","909","909"
Lock Ceske Kopisty (small chamber),,,"614","614"
Lock 23,Canal du Rhône au Rhin,"38,8 x 5,1 m — height : 3 m","52","52"
Lock Zeltingen,Mosel,18  x 3.2 m — height : 6 m,"117","117"
Lock 4 Cendrière,Canal latéral à l'Aisne,"38,5 x 5,2 m — height : 2,55 m","78","78"
Lock 22 Thunimont,Canal des Vosges,"38,5 x 5,2 m — height : 3,01 m","71","71"
Lock Faulbach,Main,300 x 12 m — height : 4.51 m,"183","183"
Lock Srnojedy,,,"605","605"
Lock 63 Moulin Rouge,Canal du Rhône au Rhin,"38,7 x 5,25 m — height : 2,4 m","44","44"
Lock 11 Vraux,Canal latéral à la Marne,"38,5 x 5,2 m — height : 2,28 m","75","75"
Lock Mülheim-Raffelberg,Ruhr-Wasserstraße,127 x 12.8 m — height : 6.85 m,"784","784"
Lock Kozle,,,"401","401"
Lock 8 Noue-Gouzaine,Canal de l'Aisne à la Marne,"38,5 x 5,2 m — height : 2,51 m","77","77"
Lock 4 Alger,Canal de l'Aisne à la Marne,"38,5 x 5,2 m — height : 2,67 m","934","934"
Lock 8 Naklo Wschod,,57.4 x 9.6 m,"522","522"
Lock 62 Garenne,Canal entre Champagne et Bourgogne,"38,5 x 5,2 m — height : 3,15 m","909","909"
Lock Cel kovice,,,"610","610"
Lock Cannstatt,Neckar,110 x 12 m — height : 5.4 m@@parallel chambers,"190","190"
Lock 11 Void de Girancourt,Canal des Vosges,"38,5 x 5,2 m — height : 3,03 m","71","71"
Lock Djerdap 2,,,"324","324"
