NOM,WATERWAY,NAVIGATION,fid,id
Lock 19 Luzy,Canal entre Champagne et Bourgogne,"38,5 x 5,2 m — height : 3,04 m","64","64"
Lock Katy (small chamber),,,"398","398"
Lock Don,Canal de la Deûle,"144,6 x 12 m","144","144"
Lock 39 Lonot,Canal du Rhône au Rhin,"38,7 x 5,25 m — height : 1,7 m","48","48"
Lock Üfingen,Mittellandkanal - Salzgitter Branch,223 x 12 — height : 9 m@@parallel chambers,"679","679"
Lock 46 Corre,Canal des Vosges,"38,5 x 5,2 m — height : 2,4 m","70","70"
Lock Roztoky,,133 x 20 m@@59 x 11 m,"611","611"
Lock 50 Chevillon,Canal entre Champagne et Bourgogne,"38,5 x 5,2 m — height : 3 m","72","72"
Lock 22 Cusey,Canal entre Champagne et Bourgogne,"38,5 x 5,2 m — height : 3,5 m","62","62"
Lock 29,Canal du Rhône au Rhin,"38,8 x 5,1 m — height : 2,84 m","52","52"
Lock Graven,Kanaal Plassendale-Nieuwpoort,45 x 8 m,"150","150"
Lock 11 Kortrijk,Kanaal Bossuit-Kortrijk,38.7 x 5.18 m — height : 2.726 m,"148","148"
Lock 20 Badin,Canal entre Champagne et Bourgogne,"38,5 x 5,2 m — height : 3,5 m","62","62"
Lock Lengfurt,Main,12.5 x 2.5 m — height : 3.99 m,"206","206"
Lock Dendermonde,Dender,168 x 16 m,"734","734"
Lock Weser Upper,Mittellandkanal - South Weser Junction Canal,82 x 10 m — height : 6.3 m,"704","704"
Lock 59 Noue,Canal entre Champagne et Bourgogne,"38,5 x 5,2 m — height : 3,15 m","72","72"
Lock 71 Désert,Canal entre Champagne et Bourgogne,"38,5 x 5,2 m — height : 3,33 m","909","909"
Lock 12 Huon,Canal de l'Aisne à la Marne,"38,5 x 5,2 m — height : 2,36 m","77","77"
Lock Datteln,Wesel-Datteln Kanal,220 x 12 m — height : 7.5 m@@112 x 12 m,"755","755"
Lock 39 Gudmont,Canal entre Champagne et Bourgogne,"38,5 x 5,2 m — height : 3,5 m","66","66"
Lock Borgharen,Maas van Borgharen naar Wessem,,"746","746"
Lock 46 Bussy,Canal entre Champagne et Bourgogne,"38,5 x 5,2 m — height : 3,15 m","73","73"
Lock 5 Void de Girancourt,Canal des Vosges,"38,5 x 5,2 m — height : 3,03 m","99","99"
Lock Dolanky,,133 x 11 m@@52 x 11 m,"611","611"
Lock Lembeek,Canal de Charleroi à Bruxelles,81.6 x 10.5 m — height : 7.27 m,"158","158"
Lock Heubach,Main,12 x 2.5 m — height : 4 m,"178","178"
Lock Obernau,Main,299.5 x 12 m — height : 4.01 m,"182","182"
Lock Bolzum,Mittellandkanal - Hildesheim Branch,82 x 12 m — height : 8 m,"683","683"
Lock Dinant,Meuse,100 x 12 m — height : 2 m,"170","170"
Lock Verbindingsluis,Boudewijnkanaal,115 x 12 m — height : 0.4 m,"154","154"
Lock 5 Boran,Oise,"185 x 12 m and 125 x 12 (two chambers) — height : 1,5 m","84","84"
Lock Hessigheim,Neckar,110 x 12 m — height : 6.2 m@@parallel chambers,"191","191"
Lock Amerongen,Neder-Rijn,260 x 18 m,"837","837"
Lock Uelzen,Elbe-Seitenkanal,185 x 12 m — height : 23 m,"672","672"
Lock Westschleuse Hohensaaten,Havel-Oder-Wasserstraße,170 x 11.92 m — height : 0.9 m,"576","576"
Lock Sülfeld (North),Mittellandkanal,225 x 12 m — height : 9 m,"678","678"
Lock Zaporizhya (parallel chambers),,,"431","431"
Lock Wedtlenstedt,Mittellandkanal - Salzgitter Branch,223 x 12 — height : 9.3 m@@parallel chambers,"679","679"
Lock Dracé,Saône,"185 x 12 m — height : 2,9 m","36","36"
Lock Werries,Datteln-Hamm Kanal,102 x 11.65 m — height : 5.1 m,"775","775"
Lock 70 Frignicourt,Canal entre Champagne et Bourgogne,"38,5 x 5,2 m — height : 3,13 m","909","909"
Lock Velky Osek,,,"608","608"
Lock 9 Villegusien,Canal entre Champagne et Bourgogne,"38,5 x 5,2 m — height : 3,25 m","63","63"
