BB_PORT_CO,BB_COUNTRY,BB_MAIN_EW,BB_PORT_NA,BB_PORT__1,CARGOHACA,CARGOHAE20,CARGOHAE40,CARGORORO,RAILACCESS,PRIV_PORT,BB_COMMENT,BB_COMME_1,LO_LOCODE,fid,id
P 10-02bis,Netherlands,E 10,"Gorinchem (Merwede, 956.0 km)","Gorinchem (Merwede, 956.0 km)",0.5-3 Mt,Available,Available,Not available,Not available,No,,,NLGOR,"849","849"
P 80-04-01,France,E 80-04,"Lagny (Marne, 149.8 km)","Lagny (Marne, 149,8 km)",0.5-3 Mt,Available,Available,Not available,Not available,No,Containers: project,Conteneurs : en projet,,"899","899"
P 81-09,Slovakia,E 81,Považská Bystrica (Váh),Považská Bystrica (Váh),0.5-3 Mt,No information,No information,No information,No information,No,Port is planned,Port prévu,,"265","265"
P 80-13,Germany,E 80,"Flörsheim (Main, 9.0 km)","Flörsheim (Main, 9,0 km)",0.5-3 Mt,Not available,Not available,Not available,Not available,Yes,,,,"203","203"
P 40-11,Ukraine,E 40,"Nova Kakhovka (Dnipro, 96.0 km)","Nova Kakhovka (Dnipro, 96,0 km)",0.5-3 Mt,Not available,Not available,Not available,Not available,No,Bulk and general cargo,Marchandises diverses et en vrac,UAZUR,"422","422"
P 10-28,Germany,E 10,"Worms  (Rhine, 444.0 km)","Worms  (Rhin, 444,0 km)",0.5-3 Mt,Not available,Not available,Not available,Available,No,,,,"193","193"
P 11-01,Netherlands,E 11,"IJmond (Noordzeekanaal, 4.7 km)","IJmond (Noordzeekanaal, 4,7 km)",>10 Mt,Available,Available,Available,Available,No,,,NLIJM,"819","819"
P 05-05,Belgium,E 05,"Hasselt (Albertkanaal, 51.5 km)","Hasselt (Canal Albert, 51,5 km)",0.5-3 Mt,No information,No information,No information,No information,No,,,BEHSS,"739","739"
P 10-19,Germany,E 10,"Wesseling-Godorf (Rhine, 672.0 km)","Wesseling-Godorf (Rhin, 672,0 km)",0.5-3 Mt,No information,No information,No information,Available,Yes,,,,"129","129"
P 10-01-01,Germany,E 10-01,"Rhein-Lippe-Hafen (Wesel-Datteln Kanal, 1.0 km)","Rhein-Lippe-Hafen (Wesel-Datteln Kanal, 1,0 km)",0.5-3 Mt,No information,No information,No information,Available,Yes,,,,"786","786"
P 91-04-03,Italy,E 91-04,"Porto Garibaldi (Ferrara Waterway, 80.0 km from Ferrara)","Garibaldi (Voie navigable de Ferrara, 80,0 km depuis Ferrara)",No information,No information,No information,No information,No information,No,Construction foreseen,Construction prévue,ITPGA,"386","386"
P 91-04-02,Italy,E 91-04,Ferrara S. Giovanni Ostellato (Ferrara-Porto Garibaldi Canal),Ferrara S. Giovanni Ostellato (Canal Ferrara-Porto Garibaldi),0.5-3 Mt,No information,No information,No information,No information,No,,,,"385","385"
P 71-02-01,Germany,E 71-02,"Potsdam (Potsdamer Havel, 3.0 km)","Potsdam (Potsdamer Havel, 3,0 km)",No information,Not available,Not available,Not available,Not available,No,,,,"601","601"
P 10-27,Germany,E 10,"Gernsheim  (Rhine, 462.0 km)","Gernsheim  (Rhin, 462,0 km)",0.5-3 Mt,Not available,Not available,Not available,Available,No,,,,"181","181"
P 80-44,Hungary,E 80,"Dunaujvaros (Danube, 1 579.0 km)","Dunaujvaros (Danube, 1579,0 km)",0.5-3 Mt,Not available,Not available,Not available,Available,No,Mainly bulk cargo,Surtout marchandises en vrac,,"269","269"
P 40-05,Ukraine,E 40,"Kyiv (Dnipro, 856.0 km)","Kyiv (Dnipro, 856,0 km)",>10 Mt,Available,No information,Not available,Available,No,Bulk and general cargo,Marchandises diverses et en vrac,UAIEV,"464","464"
P 01-02,Belgium,E 01,"Charleroi (Sambre, 48.6 km)","Charleroi (Sambre, 48,6 km)",3-10 Mt,Available,Available,Available,Available,No,,,,"161","161"
P 80-12,Germany,E 80,"Mainz (Rhine, 500.0 km)","Mainz (Rhin, 500,0 km)",3-10 Mt,Available,Available,Available,Available,No,,,DEMAI,"205","205"
P 10-06-01,France,E 10-06,"Fos (Fos Bay, sea section)","Fos (Baie de Fos, section maritime)",>10 Mt,Available,Available,Available,Available,No,,,FRFOS,"17","17"
P 15-02bis,Netherlands,E 15,"Sneek (Prinses Margrietkanaal, 43.7 km)","Sneek (Prinses Margrietkanaal, 43,7 km)",0.5-3 Mt,Available,Available,Not available,Not available,No,,,NLSNK,"800","800"
P 71-04,Germany,E 71,"Eisenhüttenstadt (Spree-Oder Wasserstraße, 124.0 km)","Eisenhüttenstadt (Spree-Oder Wasserstraße, 124,0 km)",No information,Not available,Not available,Not available,Available,No,,,DEEHS,"573","573"
P 05-01,Belgium,E 05,"Avelgem (Boven-Schelde, 35.7 km)","Avelgem (Boven-Schelde, 35,7 km)",0.5-3 Mt,Available,Available,No information,No information,No,,,,"731","731"
P 03-03,Belgium,E 03,"Zelzate (Gent-Terneuzen Canal, 19.6 km)","Zelzate (Canal Gent-Terneuzen, 19,6 km)",No information,No information,No information,No information,No information,No,,,BEZEL,"757","757"
P 01-12,Netherlands,E 01,"Zwijndrecht (Oude Maas, 980.6 km)","Zwijndrecht (Oude Maas, 980,6 km)",0.5-3 Mt,Not available,Not available,Not available,Available,No,,,NLZWI,"826","826"
P 10-15,Germany,E 10,"Neuss  (Rhine, 740.0 km)","Neuss  (Rhin, 740,0 km)",3-10 Mt,Available,Available,No information,Available,No,,,DENSS,"729","729"
P 10-01,Netherlands,E 10,"Rotterdam (Nieuwe Maas, 1 002.5 km)","Rotterdam (Nieuwe Maas, 1002,5 km)",>10 Mt,Available,Available,Available,Available,No,,,NLRTM,"840","840"
P 10-26,Germany,E 10,"Wiesbaden  (Rhine, 500.0 km)","Wiesbaden  (Rhin, 500,0 km)",0.5-3 Mt,Not available,Not available,Not available,Available,No,,,,"205","205"
P 91-05bis,Italy,E 91,San Benedetto Po (Po),Mantova S. Benedetto (Pô),0.5-3 Mt,No information,No information,No information,No information,No,,,,"382","382"
P 91-04-01,Italy,E 91-04,Ferrara (Ferrara-Porto Garibaldi Canal),Ferrara (Canal Ferrara-Porto Garibaldi),0.5-3 Mt,Available,Available,No information,Available,No,,,,"387","387"
P 70-04-01,Germany,E 70-04,"Hannover-Linden (Stichkanal, 11.0 km)","Hannover-Linden (Stichkanal, 11,0 km)",0.5-3 Mt,Not available,Not available,Not available,Available,No,,,,"686","686"
P 12-02bis,Netherlands,E 12,"Deventer (Geldersche IJssel, 57.3 km)","Deventer (Geldersche IJssel, 57,3 km)",0.5-3 Mt,Not available,Not available,Not available,Not available,No,,,NLDEV,"809","809"
P 71-03,Germany,E 71,"Eisenhüttenstadt EKO (Spree-Oder Wasserstraße, 122.0 km)","Eisenhüttenstadt EKO (Spree-Oder Wasserstraße, 122,0 km)",0.5-3 Mt,Not available,Not available,Not available,Available,Yes,,,,"573","573"
P 80-04-01,France,E 80-04,"Saint-Ouen-l'Aumône (Oise, 119.2 km)","St. Ouen-l'Aumône (Oise, 119,2 km) Lagny (Marne, 149,8 km)",0.5-3 Mt,No information,No information,No information,Available,No,,,,"85","85"
P 40-10,Ukraine,E 40,"Zaporizhya (Dnipro, 308.0 km)","Zaporizhya (Dnipro, 308,0 km)",>10 Mt,Available,Available,Not available,Available,No,"Bulk and general cargo, lighters","Marchandises diverses et en vrac, allèges",UAZPR,"431","431"
P 71-02,Germany,E 71,"Oberschöneweide Cargo-Handling Point (Spree-Oder Wasserstraße, 28.0–29.0 km)","Point de manutention des marchandises d’Oberschöneweide  (Spree-Oder Wasserstraße, 28,0–29,0 km)",0.5-3 Mt,Not available,Not available,Not available,Available,No,,,,"602","602"
P 60-06-01,France,E 60-06,"Bordeaux (Gironde et Garonne, 359.0 km)","Bordeaux (Gironde et Garonne, 359,0 km)",>10 Mt,Available,Available,Not available,Available,No,,,FRBOD,"14","14"
P 40-04ter,Belarus,E 40,"Mozyr (Pripyat, 188.0 km)","Mozyr (Pripyat, 188,0 km)",0.5-3 Mt,Not available,Not available,Not available,Available,No,General and bulk cargo,Marchandises diverses et en vrac,BYMAZ,"473","473"
P 01-10ter,Netherlands,E 01,"Waalwijk (Bergsche Maas, 236.0 km)","Waalwijk (Bergsche Maas, 236,0 km)",0.5-3 Mt,Available,Available,Not available,Not available,No,,,NLWLK,"543","543"
P 10-25,Germany,E 10,"Bingen  (Rhine, 527.0 km)","Bingen  (Rhin, 527,0 km)",No information,Not available,Not available,Not available,Available,No,,,,"177","177"
P 12-02,Netherlands,E 12,"Arnhem (Neder-Rijn, 885.8 km)","Arnhem (Neder-Rijn, 885,8 km)",0.5-3 Mt,Not available,Not available,Not available,Not available,No,,,,"832","832"
P 80-06,France,E 80,"Mondelange-Richemont (Moselle, 279.5–277.9 km)","Mondelange-Richemont (Moselle, 279,5–277,9 km)",0.5-3 Mt,No information,No information,No information,No information,No,,,,"105","105"
P 06-02,Netherlands,E 06,"Bergen op Zoom (Schelde-Rijn Connection, 1 031.8 km)","Bergen op Zoom (Liaison Schelde-Rijn, 1031,8 km)",0.5-3 Mt,Available,Available,Not available,Not available,No,,,NLBZM,"768","768"
P 80-04,France,E 80,"Frouard (Moselle, 346.5 km)","Frouard (Moselle, 346,5 km)",0.5-3 Mt,Available,Available,Available,Available,No,Heavy goods, Colis lourds,,"103","103"
P 02-02-01,Belgium,E 02-02,Oostende (North Sea),Oostende (mer du Nord),No information,No information,No information,No information,No information,No,,,BEOST,"150","150"
P 02-04-01,Belgium,E 02-04,"Roeselare (Roeselare-Leie Canal, 0.5 km)","Roeselare (Canal Roeselare-Leie, 0,5 km)",No information,No information,No information,No information,No information,No,,,,"151","151"
P 70-08,Germany,E 70,"Braunschweig/Thune (Mittellandkanal, 223.0 km)","Braunschweig/Thune (Mittellandkanal, 223,0 km)",0.5-3 Mt,Not available,Not available,Not available,Not available,Yes,,,,"681","681"
P 91-03-08,Italy,E 91-03,Porto Levante (Po di Levante mouth),Porto Levante (Embouchure du Po di Levante),No information,No information,No information,No information,No information,Yes,Private ports. Public port in project.,Ports privés. Port public en projet.,,"393","393"
P 10-38,France,E 10,"Colmar-Neuf Brisach (Rhine, 225.8 km)","Colmar-Neuf Brisach (Rhin, 225,8 km)",0.5-3 Mt,Available,Available,Not available,Available,No,"Minerals, gravel, aluminium, cereals","Minéraux, gravier, aluminium, céréales",,"56","56"
P 04-03bis,Belgium,E 04,"Willebroek (Bruxelles-Schelde Canal, 61.3 km)","Willebroek (Canal Bruxelles-Escaut, 61,3 km)",0.5-3 Mt,Available,Available,Available,Available,No,,,BEWLB,"764","764"
P 70-01-01,Netherlands,E 70-01,"Gouda (Hollandse IJssel, 1.4 km)","Gouda (Hollandse IJssel, 1,4 km)",0.5-3 Mt,Not available,Not available,Not available,Not available,No,,,NLGOU,"824","824"
P 02-03,France,E 02,"Lille (Deûle, 42.0 km)","Lille (Deûle, 42,0 km)",0.5-3 Mt,Available,Available,Not available,Available,No,,,,"142","142"
P 80-09-02,Ukraine,E 80-09,"Kilia (Danube-Kilia Arm, 47.0 km)","Kilia (Danube-Bras de Kilia, 47,0 km)",0.5-3 Mt,Available,Not available,Not available,Not available,No,General cargo,Marchandises diverses,UAKIA ,"360","360"
P 91-03-06,Italy,E 91-03,"Rovigo (Mantova-Adriatic Sea Canal, 140.0 km)","Rovigo (Canal Mantova-mer Adriatique, 140,0 km)",3-10 Mt,Available,Available,No information,Available,No,,,,"389","389"
P 05-03,Belgium,E 05,"Meerhout (Albertkanaal, 80.7 km)","Meerhout (Canal Albert, 80,7 km)",0.5-3 Mt,Available,Available,No information,No information,No,,,,"741","741"
P 70-07,Germany,E 70,"Braunschweig (Mittellandkanal, 220.0 km)","Braunschweig (Mittellandkanal, 220,0 km)",0.5-3 Mt,Not available,Not available,Not available,Available,No,,,DEBWE,"681","681"
P 80-39,Hungary,E 80,"Györ-Gönyü (Danube, 1 807.0 km)","Györ-Gönyü (Danube, 1 807,0 km)",0.5-3 Mt,No information,No information,No information,No information,No,Mainly bulk cargoes and oil products,Surtout marchandises en vrac et produits pétroliers,,"249","249"
P 10-07-03,Germany,E 10-07,"Plochingen (Neckar, 200.0 km)","Plochingen (Neckar, 200,0 km)",0.5-3 Mt,Not available,Not available,Not available,Available,No,,,,"192","192"
P 11-01-01,Netherlands,E 11-01,"Zaandam (Zaan, 2.0 km)","Zaandam (Zaan, 2,0 km)",0.5-3 Mt,Not available,Not available,Not available,Not available,No,,,,"819","819"
P 80-29,Germany,E 80,"Erlangen (Main-Donau-Kanal, 46.0 km)","Erlangen (Main-Donau Kanal, 46,0 km)",0.5-3 Mt,Not available,Not available,Not available,Available,No,,,,"212","212"
P 01-02bis,Belgium,E 01,"Charleroi (Charleroi-Bruxelles Canal, 5.6 km)","Charleroi (Canal Charleroi-Bruxelles, 5,6 km)",3-10 Mt,Not available,Not available,Not available,Not available,No,,,,"161","161"
P 80-52,Serbia,E 80,"Prahovo (Danube, 861.0 km)","Prahovo (Danube, 861,0 km)",0.5-3 Mt,No information,No information,No information,Available,No,,,,"324","324"
P 01-03,Belgium,E 01,"Namur (Sambre, 65.5 km)","Namur (Sambre, 65,5 km)",3-10 Mt,Available,Available,Not available,Available,No,,,,"166","166"
P 15-01bis,Netherlands,E 15,"Lelystad (IJsselmeer, 32.0 km)","Lelystad (Ijsselmeer, 32,0 km)",0.5-3 Mt,Not available,Not available,Not available,Not available,No,,,NLLEY,"805","805"
P 01-10quater,Netherlands,E 01,"Geertruidenberg (Bergsche Maas, 251.0 km)","Geertruidenberg (Bergsche Maas, 251,0 km)",0.5-3 Mt,Not available,Not available,Not available,Not available,No,,,NLGTB,"842","842"
P 10-23,Germany,E 10,"Bendorf  (Rhine, 599.0 km)","Bendorf  (Rhin, 599,0 km)",0.5-3 Mt,Not available,Not available,Not available,Available,No,,,,"125","125"
P 91-07,Italy,E 91,"Adria (Mantova-Adriatic Sea Canal, 265.0 km from Milano Terminale)","Adria (Canal Mantova-mer Adriatique, 265,0 km depuis le Milano Terminale)",0.5-3 Mt,No information,No information,No information,No information,No,,,,"390","390"
P 10-01-06,Germany,E 10-01,"Hamm  (Datteln-Hamm Kanal, 34.0 km)","Hamm  (Datteln-Hamm Kanal, 34,0 km)",0.5-3 Mt,Available,Available,No information,Available,No,,,,"775","775"
P 01-11,Netherlands,E 01,"Dordrecht (Merwede, 974.4 km)","Dordrecht (Merwede, 974,4 km)",3-10 Mt,Not available,Not available,Not available,Available,No,,,NLDOR,"826","826"
P 70-17,Russian Federation,E 70,"Kaliningrad river port (Pregolia, 9.0 km)","Port fluvial de Kaliningrad (Pregolia, 9,0 km)",0.5-3 Mt,No information,No information,No information,Available,No,Actual cargo turnover is 100 000 t, Manutention actuelle : 100 000 t,RUKGD ,"537","537"
P 10-18,Germany,E 10,"Köln  (Rhine, 688.0 km)","Köln  (Rhin, 688,0 km)",>10 Mt,Available,Available,No information,Available,No,,,DECGN,"722","722"
P 91-04ter,Italy,E 91,Mantova Viadana (Po),Mantova Viadana (Pô),0.5-3 Mt,No information,No information,No information,No information,No,Focused on chemical fluids through pipeline,Concentré sur les produits chimiques par pipeline,,"380","380"
P 01-10bis,Netherlands,E 01,"Maasdriel (Maas, 212.0 km)","Maasdriel (Maas, 212,0 km)",0.5-3 Mt,Not available,Not available,Not available,Not available,No,,,,"848","848"
P 80-03,France,E 80,"Conflans (Seine, 239.0 km)","Conflans (Seine, 239,0 km)",0.5-3 Mt,No information,No information,No information,No information,No,,,,"87","87"
P 01-07,Netherlands,E 01,"Born/Sittard-Geleen (Maas, 29.7 km)","Born/Sittard-Geleen (Maas, 29,7 km)",0.5-3 Mt,Available,Available,Available,Available,No,,,NLBON,"751","751"
P 01-10,Netherlands,E 01,"Oss (Maas, 193.0 km)","Oss (Maas, 193,0 km)",3-10 Mt,Available,Available,Not available,Available,No,,,NLOSS,"846","846"
P 05-04-01,Belgium,E 05-04,"Aalst (Dender, 53.7km)","Aalst (Dender, 53,7 km)",No information,No information,No information,No information,No information,No,,,,"734","734"
P 80-47ter,Serbia,E 80,"Novi Sad (Danube, 1 253.5 km)","Novi Sad (Danube, 1253,5 km)",0.5-3 Mt,Available,No information,No information,Available,No,,,RSNVS ,"305","305"
P 80-38,Slovakia,E 80,"Bratislava (Danube, 1 867.0 km)","Bratislava (Danube, 1 867,0 km)",3-10 Mt,Available,Available,Available,Available,No,,,SKBTS,"245","245"
P 40-02-02,Ukraine,E 40-02,"Mykolaiv, sea port (Pivdenny Buh, 35.0 km)","Mykolaiv, port maritime (Pivdenny Buh, 35,0 km)",3-10 Mt,Available,Available,Not available,Available,No,"Timber, oil products, metals, cereals, bulk cargo, scrap","Bois, produits pétroliers, métaux, céréales, marchandises en vrac, ferraille",UAZUA,"373","373"
P 91-04,Italy,E 91,"Cremona (Milano-Po Canal, 55.0 km from Milano Terminale)","Cremona (Canal Milano-Pô, 55,0 km depuis le Milano Terminale)",No information,No information,No information,No information,No information,No,,,,"377","377"
P 01-09sexies,Netherlands,E 01,"Grave (Maas, 174.0 km)","Grave (Maas, 174,0 km)",0.5-3 Mt,Not available,Not available,Not available,Not available,No,,,,"838","838"
