BB_PORT_CO,BB_COUNTRY,BB_MAIN_EW,BB_PORT_NA,BB_PORT__1,CARGOHACA,CARGOHAE20,CARGOHAE40,CARGORORO,RAILACCESS,PRIV_PORT,BB_COMMENT,BB_COMME_1,LO_LOCODE,fid,id
P 80-16,Germany,E 80,"Kelsterbach (Main, 19.0 km)","Kelsterbach (Main, 19,0 km)",0.5-3 Mt,Not available,Not available,Not available,Not available,Yes,,,,"203","203"
P 10-07,Germany,E 10,"Orsoy  (Rhine, 794.0 km)","Orsoy  (Rhin, 794,0 km)",0.5-3 Mt,No information,No information,No information,No information,No,,,DEORS,"785","785"
P 01-04bis,Belgium,E 01,"Liège (Albert Canal, 9.6 km)","Liège (Canal Albert, 9,6 km)",>10 Mt,Available,Available,Available,Available,No,,,BELGG,"172","172"
P 60-08-01,France,E 60-08,"Nantes (Loire, 645.0 km)","Nantes (Loire, 645,0 km)",0.5-3 Mt,Available,Available,Not available,Available,No,"Minerals, construction materials","Minéraux, matériaux de construction",FRNTE,"9","9"
P 10-14,Germany,E 10,"Düsseldorf  (Rhine, 743.0 km)","Düsseldorf  (Rhin, 743,0 km)",0.5-3 Mt,Available,Available,No information,Available,No,,,DEDUS,"729","729"
P 60-04,Germany,E 60,"Rendsburg (Kiel Canal, 62.0 km)","Rendsburg (Canal de Kiel, 62,0 km)",No information,Not available,Not available,Not available,Available,No,,,DEREN,"653","653"
P 80-31,Germany,E 80,"Regensburg (Danube, 2 370.0–2 378.0 km)","Regensburg (Danube, 2 370,0–2378,0 km)",0.5-3 Mt,Available,Available,Not available,Available,No,,,,"222","222"
P 91-05,Italy,E 91,"Boretto R. Emilia Centrale (Po, 120.0 km from Milano Terminale)","Boretto R. Emilia Centrale (Po, 120,0 km depuis le Milano Terminale)",0.5-3 Mt,No information,No information,No information,No information,No,Under construction or planned.,En construction ou en prévision.,,"380","380"
P 20-12,Germany,E 20,"Kieswerk Mühlberg (Elbe, 125.0 km)","Kieswerk Mühlberg (Elbe, 125,0 km)",0.5-3 Mt,Not available,Not available,Not available,Available,Yes,,,,"624","624"
P 80-63,Ukraine,E 80,"Reni (Danube, 128.0 km)","Reni (Danube, 128,0 km)",>10 Mt,Available,Available,Available,Available,No,"General and bulk cargo, oil products","Marchandises diverses et en vrac, produits pétroliers",UARNI,"354","354"
P 80-30,Germany,E 80,"Nürnberg (Main-Donau-Kanal, 72.0 km)","Nürnberg (Main-Donau Kanal, 72,0 km)",No information,Not available,Not available,Available,Available,No,,,DENUE,"219","219"
P 61-01,Germany,E 61,"Anklam (Peene, 95.0 km)","Anklam (Peene, 95,0 km)",0.5-3 Mt,Not available,Not available,Not available,Available,No,,,DEANK,"586","586"
P 71-01,Germany,E 71,"Teltowkanal Cargo-Handling Point (Teltowkanal, 31.0–34.0 km)","Point de manutention des marchandises de Teltowkanal (Teltowkanal, 31,0–34,0 km)",0.5-3 Mt,Not available,Not available,Not available,Available,Yes,,,,"602","602"
P 80-05,France,E 80,"Metz (Moselle, 297.0–294.0 km)","Metz (Moselle, 297,0–294,0 km)",0.5-3 Mt,Available,Available,Not available,Available,No,,,,"105","105"
P 10-13,Germany,E 10,"Krefeld  (Rhine, 762.0 km)","Krefeld  (Rhin, 762,0 km)",0.5-3 Mt,Available,Available,No information,Available,No,,,DEKRE,"778","778"
P 15-02,Netherlands,E 15,"Lemmer (Prinses Margrietkanaal, 90.5 km)","Lemmer (Prinses Margrietkanaal, 90,5 km)",0.5-3 Mt,Not available,Not available,Not available,Not available,No,,,NLLMR,"800","800"
P 12-01,Netherlands,E 12,"Nijmegen (Waal, 884.6 km)","Nijmegen (Waal, 884,6 km)",0.5-3 Mt,Available,Available,Not available,Not available,No,,,NLNIJ,"833","833"
P 05-04,Belgium,E 05,"Ham (Albertkanaal, 73.7 km)","Ham (Canal Albert, 73,7 km)",0.5-3 Mt,No information,No information,No information,No information,No,,,BEKWA,"741","741"
P 30-01-01,Poland,E 30-01,"Gliwice (Gliwicki Canal, 41.0 km)","Gliwice (Canal de Gliwicki, 41,0 km)",0.5-3 Mt,Not available,Not available,Not available,Available,No,,,,"403","403"
P 02-04-02,Belgium,E 02-04,"Izegem (Roeselare-Leie Canal, 6.4 km)","Izegem (Canal Roeselare-Leie, 6,4 km)",No information,No information,No information,No information,No information,No,,,,"151","151"
P 60-03,Germany,E 60,"Brunsbüttel (Kiel Canal, 2.0–5.0 km)","Brunsbüttel (Canal de Kiel, 2,0–5,0 km)",0.5-3 Mt,Not available,Not available,Not available,Available,No,,,DEOSR,"667","667"
P 80-42,Hungary,E 80,"Budapest (Danube, 1 640.0 km)","Budapest (Danube, 1 640,0 km)",3-10 Mt,Available,No information,Available,Available,No,,,HUBUD,"259","259"
